# ALPHA = 0.05
# TOT_SETS = 39


# _SET1_ SET = Cerebellum.neurons
# _SET1_ NGENES = 1555
# _SET1_ P = 4.05584e-06
_SET1_     GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET1_     57463         1  110039446  110087336    114      14  259017       5.3808   3.7067e-08
_SET1_     388662        1  110658132  110754824    182      27  251389       1.4927     0.067763
_SET1_     3749          1  110718336  110786674    137      29  240211       2.3091      0.01047
_SET1_     3737          1  111126202  111209096    194      28  237433      0.95813        0.169
_SET1_     3752          1  112308444  112567147    731      98  253167       2.6304    0.0042645
_SET1_     440603        1  114409436  114465230     89      17  257186       2.1724     0.014912
_SET1_     6847          1  115362455  115547991    399      24  262076       0.2866      0.38721
_SET1_     845           1  116232624  116346426    440      26  260966       1.6022     0.054558
_SET1_     4808          1  116368998  116418747    174      23  254194    -0.096177      0.53831
_SET1_     55356         1  116484119  116622675    294      22  258583      0.93652       0.1745
_SET1_     9659          1  144841424  145111186     16       6  197787       0.4234        0.336
_SET1_     148738        1  145378191  145427545     39       5  241380      0.68041      0.24812
_SET1_     10623         1  145582605  145645972     63       7  259519      -0.7934      0.78623
_SET1_     9900          1  149864870  149924434     80       6  253547       1.2944      0.09776
_SET1_     148523        1  150219930  150269505     67       9  260282      0.34306      0.36578
_SET1_     10500         1  151094161  151154146     86      18  252238       2.5763    0.0049938
_SET1_     57530         1  151448331  151521168    111      17  229258     0.003248       0.4987
_SET1_     7286          1  151477781  151566059    155      24  211191     0.078237      0.46882
_SET1_     4881          1  153616093  153676468     79      13  256336     -0.52512      0.70025
_SET1_     9909          1  153891977  153954162     82      10  258125       5.7506   4.4466e-09
_SET1_     57198         1  154263036  154333780    179      22  260903     -0.18435      0.57313
_SET1_     1141          1  154505257  154562354    120      18  252592       2.3289    0.0099324
_SET1_     3782          1  154659938  154877754    548      82  248397       3.5093   0.00022467
_SET1_     57127         1  156303980  156365013    104      22  261366      0.65065      0.25763
_SET1_     3645          1  156800665  156863712    123      28  251612     -0.65264        0.743
_SET1_     57863         1  159106377  159182932    152      36  239849       2.5656    0.0051499
_SET1_     2532          1  159138803  159186290    127      28  244330       2.7829    0.0026938
_SET1_     391123        1  159814106  159867447    146      18  250565       0.6843      0.24689
_SET1_     3765          1  160016360  160069212    110      15  260333      0.74707      0.22751
_SET1_     4807          1  160301861  160352638    120      21  244107       2.9311    0.0016887
_SET1_     4259          1  165565110  165635373    295      28  257137       0.3528      0.36212
_SET1_     149297        1  166016663  166170992    392      25  251946       3.0201    0.0012634
_SET1_     57645         1  166773681  166833709    167      18  262414      0.74614      0.22779
_SET1_     8804          1  167500250  167558056    247      38  243531     -0.50432      0.69298
_SET1_     481           1  169040947  169111960    226      40  253936       1.3457     0.089203
_SET1_     51603         1  171715761  171776856    216      19  264591       4.8169    7.291e-07
_SET1_     163589        1  179525748  179670407    417      23  259697      0.69145      0.24464
_SET1_     85397         1  182603036  182688502    210      31  253278       2.0094     0.022246
_SET1_     3918          1  183112952  183224262    357      28  254393       2.8216    0.0023892
_SET1_     6003          1  192570268  192639441    195      21  249998       2.3826    0.0085959
_SET1_     6738          1  192993552  193070907    118      13  243329       3.9507   3.8961e-05
_SET1_     8707          1  193137860  193190743    105      12  247885         4.18   1.4576e-05
_SET1_     89796         1  201473243  201806102    931      98  251445       1.2178      0.11165
_SET1_     5778          1  202106141  202165716    178      26  249875        2.154     0.015621
_SET1_     127833        1  202549724  202714551    344      44  254274      0.91824      0.17925
_SET1_     26254         1  203428271  203488077    171      24  246056       1.6126     0.053416
_SET1_     55224         1  204090190  204156307    185      37  254364       1.8482     0.032288
_SET1_     10446         1  204576298  204689597    282      33  251569        1.422     0.077515
_SET1_     55220         1  205295193  205361218    247      30  257080         2.48    0.0065684
_SET1_     9261          1  206823295  206917630    238      29  252272        0.821      0.20582
_SET1_     79098         1  207181866  207243555    140      19  232001       1.1029      0.13503
_SET1_     57172         1  209722045  209797284    234      32  252173       0.3503      0.36306
_SET1_     3914          1  209778215  209860820    251      45  248396       1.5612     0.059241
_SET1_     4751          1  211821598  211883972    196      30  259961      0.45485      0.32461
_SET1_     9926          1  211906799  212083531    520      27  259859     -0.28953      0.61391
_SET1_     2104          1  216666588  217346097   2170     166  251244       4.6136   1.9791e-06
_SET1_     25782         1  220311610  220480843    352      30  258219       2.0225      0.02156
_SET1_     11221         1  221864764  221951204    223      37  250426      -1.5969      0.94485
_SET1_     375056        1  222756444  222851351    226      23  255360       1.0069      0.15699
_SET1_     8476          1  227167566  227541193   1706      26  263713     -0.13047       0.5519
_SET1_     116841        1  227887697  227978932    212      30  256284       1.3506     0.088407
_SET1_     81559         1  228571373  228629584    117      15  246133     -0.35843      0.63999
_SET1_     51127         1  228584858  228639583    118      16  243572     -0.16556      0.56575
_SET1_     58480         1  228745394  228892416    220      25  257666     -0.29469      0.61589
_SET1_     79605         1  230447392  230596674    502      50  254408      0.24045      0.40499
_SET1_     440730        1  231263674  231367314    300      41  249903     0.085479      0.46594
_SET1_     8443          1  231341919  231423719    208      27  252371      0.16566      0.43421
_SET1_     3775          1  233714750  233818258    396      63  250151       1.5845     0.056538
_SET1_     148641        1  234005679  234470262   1657     127  243595       1.8863     0.029628
_SET1_     9453          1  235456753  235517847    134      11  260173       2.9833    0.0014259
_SET1_     148789        1  235600505  235702781    275      18  256636       3.1585   0.00079281
_SET1_     6262          1  237170510  238007288   2646     225  249384       2.0404     0.020656
_SET1_     200150        1  242241689  242722998   1598     114  253589       2.2184     0.013264
_SET1_     10472         1  244177241  244230778    116      29  253500        1.571     0.058092
_SET1_     163882        1  246694639  246841884    477      43  253279     -0.29658      0.61661
_SET1_     26751         2     208136     299820    174      16  260927       -0.483      0.68545
_SET1_     7173          2    1382233    1557445    651      45  253519      0.61732      0.26851
_SET1_     23040         2    1782885    2370147   1647      97  254022       2.4645    0.0068606
_SET1_     3241          2   10408015   10577743    684      95  249397      0.89455      0.18551
_SET1_     51594         2   15297032   15736472   1035      25  257491       2.2563     0.012025
_SET1_     165324        2   24115132   24233701    354      20  261272       2.9894    0.0013976
_SET1_     22979         2   25229973   25392004    379      31  255102       4.0713   2.3376e-05
_SET1_     3777          2   26880581   26964066    169      27  247295       4.3943   5.5563e-06
_SET1_     10669         2   27312159   27376995     97      14  258658       4.3994   5.4273e-06
_SET1_     2646          2   27684470   27756556    113      12  257595      0.45162      0.32577
_SET1_     22950         2   27851338   27927847    112      13  234771       1.0923      0.13735
_SET1_     51232         2   36548370   36788278    661      65  256459       2.5739    0.0050277
_SET1_     64225         2   38512027   38639432    410      24  234164    -0.014481      0.50578
_SET1_     100271715     2   39111504   39212590    176      26  243325       1.9249     0.027122
_SET1_     130733        2   39857638   39955103    156      15  248545     -0.59208       0.7231
_SET1_     91461         2   42240161   42295668    208      14  260446      0.69111      0.24475
_SET1_     63892         2   43447975   43858185   1040      27  257918      -1.0223      0.84668
_SET1_     5495          2   44360984   44481570    277      22  256192       2.2337     0.012752
_SET1_     79823         2   44554043   45009731   1091      28  256804       4.6092   2.0214e-06
_SET1_     9378          2   50135643   51294674   3328     131  261220        4.506   3.3032e-06
_SET1_     10936         2   54070050   54122170    132      21  260099       4.0362   2.7168e-05
_SET1_     57142         2   55189325   55342770    452      36  258097       1.7187     0.042837
_SET1_     22848         2   69675127   69936566    520      32  232613     -0.69106      0.75524
_SET1_     4084          2   70107173   70180077    133      11  251997       4.4548   4.1986e-06
_SET1_     7840          2   73577886   73847047    517      15  251078         5.83   2.7714e-09
_SET1_     7841          2   74678184   74727537     42       8  249340       1.2175       0.1117
_SET1_     10505         2   74846355   74920981     95      14  242997     -0.26056      0.60279
_SET1_     8869          2   86056271   86151157    299      18  262016       2.3077     0.010507
_SET1_     9451          2   88846259   88962094    166      19  257302      0.45001      0.32635
_SET1_     150696        2   95904674   95976067     70      11  253202       2.2566     0.012017
_SET1_     30818         2   95928072   96061825    132      14  257723       2.2127     0.013458
_SET1_     55654         2   96905946   96966751     64      14  252899      0.92486      0.17752
_SET1_     26505         2   97445950   97511121     85       9  242175    -0.055788      0.52224
_SET1_     23505         2   98362799   98647389    514      21  256498       1.0643       0.1436
_SET1_     3631          2   99026321   99217496    285      14  258560      0.31114      0.37785
_SET1_     3899          2  100152326  100794037   1270      60  257603       5.9845   1.0854e-09
_SET1_     84524         2  112963439  113047664    125      15  259389      0.51671      0.30268
_SET1_     6574          2  113368434  113431402    172      14  260369       3.1997   0.00068797
_SET1_     57628         2  115164899  116613328   3307     130  258387       1.4791     0.069559
_SET1_     80775         2  120401743  120449694    141      11  250335      0.55192       0.2905
_SET1_     5775          2  120482207  120752496    467      23  256855       1.4711     0.070633
_SET1_     56886         2  128813754  128963251    428      20  258033      0.48462      0.31397
_SET1_     9394          2  129013054  129111171    298      41  243733       1.7494     0.040108
_SET1_     55627         2  130898965  130975323    103       5  253929     -0.25633      0.60115
_SET1_     116372        2  133392337  133464070    122      12  236492      0.16847      0.43311
_SET1_     4249          2  134842502  135222192   1103      94  252781       2.5034    0.0061507
_SET1_     130576        2  149859981  150081776    657      48  251535       1.3286     0.091983
_SET1_     130574        2  150151499  150340662    374      45  253527       3.0414    0.0011774
_SET1_     4703          2  152331853  152626001    480      40  254106     -0.10605      0.54223
_SET1_     114805        2  154693426  155320489   1885      57  258935      0.22249      0.41197
_SET1_     8502          2  159278476  159547941    876      33  256518      0.80004      0.21184
_SET1_     3694          2  160946182  161145349    522      38  258540       2.5984    0.0046828
_SET1_     57282         2  162445699  162851786    832      25  258063       4.1265   1.8413e-05
_SET1_     6323          2  166835670  167040642    684      40  254844       4.1032   2.0377e-05
_SET1_     253782        2  169277759  169641644   1041      77  249978       1.4995     0.066877
_SET1_     4036          2  169973619  170254123    823      85  252913      -1.6332      0.94878
_SET1_     79675         2  170376259  170465431    241      29  260272     -0.43324      0.66758
_SET1_     389058        2  171536857  171584498    144      25  251286       2.7562    0.0029242
_SET1_     2571          2  171638200  171727661    239      29  249640        2.724    0.0032244
_SET1_     79828         2  172163912  172326312    328      25  261512      0.43481      0.33185
_SET1_     92104         2  178469026  178518694    243      23  252564      0.49388      0.31069
_SET1_     114880        2  179024208  179274160    728      54  251387      0.94164      0.17319
_SET1_     91404         2  179956419  180164350    531      29  254173       1.5356     0.062316
_SET1_     151126        2  180296709  180761232   1611     113  258887       2.2489      0.01226
_SET1_     4760          2  182530833  182580392     99      10  255971      0.67927      0.24848
_SET1_     3628          2  191173196  191246391    186      17  253858      0.41416      0.33938
_SET1_     9262          2  196988307  197071336    252      18  254771     -0.24337      0.59614
_SET1_     92935         2  198535028  198583114     51       7  259679       3.1034   0.00095659
_SET1_     60491         2  201719050  201778655     80      14  255636       0.1781      0.42932
_SET1_     66008         2  202231930  202351319    212      19  255541      0.65121      0.25746
_SET1_     58538         2  202499597  202598467    270      40  240701       1.7951      0.03632
_SET1_     57679         2  202554986  202680895    344      23  259886       2.2828     0.011221
_SET1_     4719          2  206977803  207059243    189      15  260586      0.91857      0.17916
_SET1_     8745          2  207273268  207495854    433      48  256524      0.50397      0.30714
_SET1_     285175        2  210601717  210874024    508      29  251965        1.174      0.12019
_SET1_     10314         2  211285973  211377347    199      17  260774       3.0581    0.0011135
_SET1_     55686         2  216797314  216913346    379      61  248149     -0.97394      0.83496
_SET1_     92691         2  216911589  216977506    140      24  249018     -0.14972      0.55951
_SET1_     57574         2  217112585  217271750    440      52  254835       1.1988      0.11531
_SET1_     50485         2  217242137  217357776    380      26  254206       1.0271      0.15218
_SET1_     9654          2  219540558  219630139    141       8  259697        1.133      0.12861
_SET1_     1593          2  219611472  219690016    144       6  253662       1.1926      0.11651
_SET1_     53632         2  219677083  219731526     53      11  238842       3.1249   0.00088927
_SET1_     79137         2  220007939  220060197    105      11  253837       1.3233     0.092866
_SET1_     10058         2  220064488  220118712     95      13  244620      0.85197      0.19712
_SET1_     79065         2  220074102  220129387    108      14  242743      0.88983      0.18678
_SET1_     7277          2  220104433  220154330    105      13  243703      0.30221      0.38125
_SET1_     3623          2  220401954  220450435    118      20  251564       2.2919     0.010956
_SET1_     6508          2  220457292  220516702     74      14  225039       1.8535     0.031902
_SET1_     130367        2  223253771  223437342    412      57  251324     -0.32044      0.62568
_SET1_     80309         2  228834670  229081836    725      34  260861     -0.17716      0.57031
_SET1_     92737         2  230212345  230614286   1317     105  249680     -0.58358      0.72025
_SET1_     4880          2  232776805  232826038    133      27  254061     -0.21119      0.58363
_SET1_     8527          2  234228149  234390744    384      32  258411       2.1413     0.016126
_SET1_     339766        2  234649325  234752069    358      59  251720       0.8603      0.19481
_SET1_     79054         2  234791043  234938166    506      55  253107       1.1394      0.12727
_SET1_     10123         2  235391685  235440721    129      38  244449     0.062744      0.47499
_SET1_     10752         3     203279     461100    937      78  246859       4.1621   1.5769e-05
_SET1_     27255         3    1099342    1455278   1515     131  252786       1.8745     0.030431
_SET1_     152330        3    2105550    3109645   3971     318  249137       3.6984   0.00010849
_SET1_     3708          3    4500032    4899524   1288     143  244078    -0.095371      0.53799
_SET1_     859           3    8740486    8798451    186      39  243472      0.83598      0.20158
_SET1_     375323        3    9530045    9630486    286      22  258194     0.085117      0.46608
_SET1_     151835        3    9710510    9781592    114      32  244602     -0.81087      0.79128
_SET1_     7862          3    9738413    9799699    105      33  245339      -1.4224      0.92255
_SET1_     132014        3    9909296    9968086    132      16  258747       1.1291      0.12942
_SET1_     285368        3    9977226   10029078    104       7  258999     0.058855      0.47653
_SET1_     51738         3   10317434   10369631    142      21  257399       2.0202      0.02168
_SET1_     491           3   10355707   10768131   1410     124  249387      0.87976      0.18949
_SET1_     6529          3   10999420   11090935    264      52  247180      0.53877      0.29502
_SET1_     9922          3   12928542   13149652    688      80  253927      0.89409      0.18564
_SET1_     23225         3   13347730   13496819    506      19  259154       0.9505      0.17093
_SET1_     80852         3   14520396   14618588    337      40  252532       2.1622     0.015303
_SET1_     23228         3   16939582   17142098    409      26  260678       4.5561   2.6059e-06
_SET1_     9497          3   27404212   27560911    488      26  260489       1.6485     0.049626
_SET1_     114884        3   31692317   32058342   1096     109  244371       2.0078      0.02233
_SET1_     9881          3   36858308   37021548    321      27  258783       3.0814    0.0010303
_SET1_     25924         3   39815405   40311812   1410      69  256935      0.16183      0.43572
_SET1_     9117          3   42579459   42677572    232      20  258087      0.65682      0.25565
_SET1_     4820          3   42607147   42700233    218      18  258340      0.65112      0.25749
_SET1_     57467         3   42724155   42779319    106      15  250687     -0.86128      0.80546
_SET1_     23395         3   45395053   45600334    507      29  252750       1.4312     0.076186
_SET1_     993           3   48188668   48265153     88      13  253426      0.92024      0.17872
_SET1_     646424        3   48338336   48404831    154       9  258163        1.324      0.09275
_SET1_     1294          3   48591506   48667593     76      18  240635        5.476   2.1747e-08
_SET1_     1951          3   48663896   48735348     86       7  255796       5.8925   1.9014e-09
_SET1_     54681         3   48992304   49054582     46       7  258902       4.5345   2.8869e-06
_SET1_     339834        3   49200861   49305636    124      13  259583       6.4123   7.1675e-11
_SET1_     375341        3   49296030   49349864     56      11  258643       7.0351   9.9538e-13
_SET1_     275           3   49444211   49495111     70      11  260342       9.0842   5.2246e-20
_SET1_     24142         3   50323833   50371852     59      10  224490       1.5689     0.058334
_SET1_     9254          3   50390230   50575892    314      20  246270       4.7743   9.0185e-07
_SET1_     51161         3   50585456   50643458     82       9  249587       3.0584    0.0011128
_SET1_     29890         3   51393699   51445339     62       8  247125     -0.42799      0.66567
_SET1_     23132         3   51540596   51707634    157      20  247425      0.38542      0.34996
_SET1_     2912          3   51706081   51762629     52      19  247488       1.9776     0.023987
_SET1_     5580          3   53160223   53236733    164      25  255471       1.9256      0.02708
_SET1_     776           3   53494076   53857179    831      82  252981       4.4467   4.3604e-06
_SET1_     55799         3   54121620   55118584   2837     211  248730       4.4387   4.5252e-06
_SET1_     57408         3   54942264   55036115    251      34  213499     -0.29144      0.61464
_SET1_     57406         3   58188233   58290463    345      23  263184       0.2044      0.41902
_SET1_     200845        3   58442823   58498087     97      17  262270     -0.13584      0.55403
_SET1_     100131827     3   75775868   75869709    153      14  250807       1.3919     0.081975
_SET1_     2042          3   89121674   89541284    757      28  256890       5.5213   1.6827e-08
_SET1_     131566        3   98504814   98655566    319      19  263230       1.6013     0.054651
_SET1_     50939         3  100931390  101074419    269      16  262851      0.39604      0.34604
_SET1_     91775         3  101463029  101557075    130      15  257802     0.090423      0.46398
_SET1_     961           3  107751941  107844935    195      30  236676       4.6016   2.0966e-06
_SET1_     257068        3  111358523  111575294    671      51  257953      0.91942      0.17894
_SET1_     91653         3  112894850  113016306    435      62  232136       1.0489      0.14711
_SET1_     4045          3  115511210  116199385   1582      86  256717      0.19217       0.4238
_SET1_     3081          3  120337015  120436418    301      40  244109     -0.29085      0.61442
_SET1_     9515          3  120592050  121153608   1560      30  261017       1.6512     0.049345
_SET1_     10721         3  121140273  121299853    326      23  256573        1.274      0.10134
_SET1_     286676        3  121696170  121776127    155      31  253163     -0.38329      0.64925
_SET1_     111           3  122991143  123202924    450      38  246259       1.2056      0.11399
_SET1_     8997          3  123778558  124450036   2026     101  254212        4.765   9.4446e-07
_SET1_     56667         3  124614289  124688595    198      36  251456     -0.67249      0.74937
_SET1_     84561         3  124791480  124966609    643      77  245836       3.0075    0.0013169
_SET1_     54946         3  125715200  125855398    528      25  255999       2.4443    0.0072571
_SET1_     5361          3  126672437  126766235    306      23  254312       1.5075     0.065839
_SET1_     50512         3  127313002  127401653     90      20  246069     -0.40655      0.65783
_SET1_     29927         3  127735402  127800526    169       7  259028       2.7403    0.0030691
_SET1_     27032         3  130534327  130745556    342      28  252565       1.5804     0.057011
_SET1_     2047          3  134479099  134989309   1485     124  255786       3.8049   7.0931e-05
_SET1_     53833         3  136641707  136739927    157      14  194921       1.9505     0.025556
_SET1_     64084         3  139619027  140296919   1888     149  254435       4.5024   3.3602e-06
_SET1_     545           3  142158077  142332668    358      17  254493       3.1575    0.0007957
_SET1_     344838        3  142670073  142717818    118      24  241903       0.8905       0.1866
_SET1_     205428        3  143655640  143721210    235      12  258682       4.5516   2.6622e-06
_SET1_     7545          3  147092181  147144506     94      16  261656       2.3689    0.0089193
_SET1_     84107         3  147093835  147159596    113      17  261467       2.1154     0.017197
_SET1_     7401          3  150633950  150725786    231      37  242111       1.0846      0.13904
_SET1_     116931        3  150768452  151164465    888      47  254219       1.1315      0.12893
_SET1_     23007         3  155187670  155497878    871      32  259807      0.20272      0.41968
_SET1_     9197          3  155534300  155607248    200      24  249902       1.9989      0.02281
_SET1_     7881          3  155803337  156266927   1267      67  250818        1.845     0.032517
_SET1_     151742        3  160438996  160798817    795      33  257841     -0.51492       0.6967
_SET1_     5274          3  167418432  167553357    333      22  257043     -0.44543      0.67199
_SET1_     7095          3  169649580  169726161    165      16  258206     -0.13709      0.55452
_SET1_     57552         3  172338435  172464207    360      45  246452      -1.0715      0.85802
_SET1_     22871         3  173080570  174014434   2320     135  252597       2.3638    0.0090455
_SET1_     5290          3  178831311  178962500    266      18  259582       1.2506      0.10554
_SET1_     84002         3  182936032  183001179     86      15  240626      0.17129        0.432
_SET1_     1857          3  183838099  183901314    116      21  259596       3.5323     0.000206
_SET1_     9718          3  183932445  184020819    185      24  259803       1.9123     0.027922
_SET1_     9175          3  184965729  185216882    523      25  261795      -1.0304      0.84859
_SET1_     90407         3  185197389  185251845     90       8  261761      -1.1135      0.86726
_SET1_     200879        3  185215570  185305369    211      19  259786     -0.30687      0.62053
_SET1_     1608          3  185842896  186115023    613     106  244517      0.69733       0.2428
_SET1_     9370          3  186525463  186586252    146      32  251622      -1.1235      0.86939
_SET1_     344901        3  190882039  190993404    422      27  255961      0.99754      0.15925
_SET1_     151963        3  192504604  192670950    448      37  251812       3.4265   0.00030566
_SET1_     4976          3  193275933  193425600    364      18  261504     0.071801      0.47138
_SET1_     2814          3  194105550  194154995    131      14  257361      0.64372      0.25988
_SET1_     152002        3  194779008  195026895    802      48  255067       1.9178      0.02757
_SET1_     7037          3  195766155  195844032    295      22  258520      0.68265      0.24741
_SET1_     622           3  197226654  197335194    410      43  253219      0.71507      0.23728
_SET1_     89782         3  197652071  197780591    323      18  251715       1.0466      0.14764
_SET1_     152687        4      18227      98099     80      11  246987     -0.13469      0.55357
_SET1_     10815         4     768745     854945    368      40  258565       3.4398   0.00029108
_SET1_     1609          4     942672    1002348    167      31  253498       2.6688    0.0038063
_SET1_     339983        4    2026239    2080816     64      10  243515       2.8835    0.0019665
_SET1_     57732         4    2261324    2455370    708      58  254130       3.7264   9.7125e-05
_SET1_     4043          4    3495324    3569224    247      27  258170       1.1224      0.13085
_SET1_     152           4    3733296    3780253    148      34  243099       1.0431      0.14844
_SET1_     27065         4    4352983    4430785    287      44  241191       1.0971      0.13629
_SET1_     1400          4    5812491    5929785    452      62  252567      0.30493      0.38021
_SET1_     389197        4    5889318    6027175    748      84  253847      0.95115      0.17076
_SET1_     1816          4    9748258    9795633    146      16  256942       2.7383    0.0030879
_SET1_     85460         4   10431497   10494032    222      30  248997       1.9667     0.024611
_SET1_     80333         4   20720234   21985424   4524     191  253872       2.8506     0.002182
_SET1_     10891         4   23783644   24509394   1923     171  255099       3.8329   6.3331e-05
_SET1_     55203         4   24990471   25067414    312      42  251803       1.2038      0.11434
_SET1_     23231         4   25739049   25899647    415      68  247682       1.2779      0.10064
_SET1_     10699         4   47586015   47875395    686      39  261363      0.62029      0.26753
_SET1_     3815          4   55489095   55616881    331      31  258641       2.9463    0.0016078
_SET1_     23284         4   62031949   62948168   1892     130  256347      0.52459      0.29993
_SET1_     9508          4   73136686   73469516    542      30  245063       1.1767      0.11966
_SET1_     166824        4   74427267   74521348    209      19  259546      0.53443      0.29652
_SET1_     5470          4   76771025   76858681    296      30  239422     -0.27673      0.60901
_SET1_     55153         4   76861064   76947115    176      20  260895      0.74588      0.22787
_SET1_     345079        4   77806082   77854002    128      18  258300       1.0652      0.14339
_SET1_     56978         4   81070033   81135483    221      23  251966      0.73118      0.23234
_SET1_     2250          4   81152742   81222171    202      23  244632       1.0236      0.15302
