# MEAN_SAMPLE_SIZE = 250634
# TOTAL_GENES = 15528
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, samplesize, log_samplesize, inverse_mac, log_inverse_mac
COVAR                      OBS_GENES       BETA   BETA_STD         SE            P
HYPEP1                         15528      0.052      0.058     0.0107   6.3715e-07
HYPEP3                         15528      0.068     0.0756     0.0108   1.6058e-10
HYPEP4                         15528     0.0449     0.0492     0.0109   2.0292e-05
HYPEP5                         15528     0.0437     0.0481      0.011   3.4128e-05
HYPEP6                         15528     0.0454     0.0483     0.0112   2.7754e-05
MBCHO1                         15528     0.0715     0.0772     0.0111   7.0918e-11
MBDOP2                         15528     0.0706     0.0773     0.0109   5.5658e-11
MEGLU1                         15528      0.065      0.073     0.0107   5.4121e-10
MEGLU10                        15528     0.0686     0.0778     0.0106   4.7774e-11
MEGLU11                        15528     0.0661     0.0731     0.0109   5.9767e-10
MEGLU14                        15528     0.0551     0.0598     0.0111   3.2932e-07
MEGLU2                         15528     0.0695     0.0781     0.0107    4.103e-11
MEGLU3                         15528     0.0851     0.0939     0.0109   2.4223e-15
MEGLU4                         15528     0.0868     0.0936     0.0111   3.2653e-15
MEGLU5                         15528     0.0694     0.0764     0.0109   1.0427e-10
MEGLU6                         15528     0.0884     0.0967      0.011   5.0216e-16
MEGLU7                         15528      0.102      0.112     0.0109   5.0269e-21
MEGLU8                         15528     0.0799     0.0889     0.0108   6.3318e-14
MEGLU9                         15528     0.0747      0.083     0.0108   2.3169e-12
MEINH10                        15528      0.084     0.0938     0.0107   2.5826e-15
MEINH11                        15528      0.079     0.0847     0.0112   8.5664e-13
MEINH13                        15528     0.0667     0.0731     0.0109   5.5636e-10
MEINH2                         15528     0.0748     0.0843     0.0106   9.8408e-13
MEINH3                         15528     0.0783     0.0873     0.0108   1.8358e-13
MEINH4                         15528     0.0725     0.0802     0.0109    1.261e-11
MEINH5                         15528     0.0881     0.0953     0.0111   9.1527e-16
MEINH6                         15528     0.0823     0.0878     0.0113   1.3773e-13
MEINH7                         15528     0.0685     0.0742      0.011    2.793e-10
MEINH9                         15528     0.0867     0.0949      0.011   1.6378e-15
MFOL1                          15528     0.0479     0.0536     0.0107   3.9556e-06
MFOL2                          15528     0.0407     0.0456     0.0107   7.2308e-05
MGL1                           15528    0.00993     0.0112     0.0106      0.17534
MGL2                           15528    0.00679    0.00758     0.0108      0.26398
MGL3                           15528     0.0056    0.00628     0.0107      0.30071
MOL1                           15528      0.038     0.0427     0.0107   0.00018633
MOL2                           15528     0.0412     0.0464     0.0107    5.726e-05
MOL3                           15528     0.0281     0.0313     0.0108     0.004743
MSN1                           15528     0.0933      0.102     0.0109   7.2752e-18
MSN2                           15528      0.091        0.1     0.0109   4.0341e-17
MSN3                           15528     0.0817     0.0914     0.0107   1.3467e-14
MSN4                           15528     0.0849     0.0956     0.0106   7.9085e-16
MSN5                           15528      0.083     0.0916     0.0108   8.6033e-15
MSN6                           15528     0.0678     0.0741      0.011   3.3695e-10
NFOL1                          15528     0.0467     0.0518     0.0108   7.8977e-06
NFOL2                          15528     0.0586     0.0623     0.0113   1.0395e-07
OBDOP1                         15528     0.0644     0.0702      0.011   2.6823e-09
OBDOP2                         15528     0.0719      0.078     0.0111    4.147e-11
OBINH1                         15528     0.0907     0.0985      0.011   1.1983e-16
OBINH2                         15528     0.0911        0.1     0.0109   4.0644e-17
OBINH3                         15528      0.086     0.0938      0.011   3.0355e-15
OBINH4                         15528     0.0792     0.0866      0.011   2.7282e-13
OBNBL1                         15528     0.0637     0.0702     0.0109   2.3167e-09
OBNBL2                         15528     0.0589     0.0639     0.0111   5.7246e-08
OBNBL3                         15528     0.0579     0.0644     0.0109   5.0037e-08
OBNBL4                         15528     0.0618     0.0667     0.0111   1.4261e-08
OBNBL5                         15528      0.061      0.067     0.0109   1.2441e-08
OEC                            15528      0.017     0.0187     0.0108      0.05863
OPC                            15528       0.03     0.0339     0.0106    0.0022742
PER1                           15528   -0.00969    -0.0112     0.0104       0.8247
PER2                           15528    -0.0135    -0.0151     0.0106      0.89769
PER3                           15528   -0.00766   -0.00843     0.0108      0.76002
PSNF1                          15528     0.0486     0.0522     0.0111   6.0043e-06
PSNF2                          15528     0.0295     0.0324     0.0109    0.0033249
PSNF3                          15528     0.0243     0.0261     0.0111     0.013957
PSNP1                          15528     0.0383     0.0423     0.0108   0.00019567
PSNP2                          15528     0.0218     0.0237     0.0109     0.023376
PSNP3                          15528     0.0235      0.026     0.0108     0.014803
PSNP4                          15528     0.0275     0.0295     0.0111    0.0068195
PSNP5                          15528     0.0181     0.0198     0.0109     0.048222
PSNP6                          15528     0.0168     0.0185     0.0108     0.061282
PSPEP1                         15528     0.0197     0.0219     0.0107     0.032604
PSPEP2                         15528     0.0167     0.0184     0.0108     0.060828
PSPEP3                         15528     0.0352     0.0387     0.0109   0.00058694
PSPEP4                         15528     0.0319     0.0347      0.011    0.0018345
PSPEP6                         15528     0.0261     0.0281     0.0111    0.0094742
PSPEP7                         15528     0.0309     0.0334      0.011    0.0025638
PSPEP8                         15528     0.0405     0.0433     0.0111    0.0001415
PVM1                           15528    0.00259    0.00291     0.0107      0.40412
PVM2                           15528    0.00521    0.00574     0.0109      0.31649
RGDG                           15528     0.0245     0.0265      0.011      0.01333
RGSZ                           15528     0.0329     0.0364     0.0108    0.0011488
SATG2                          15528     -0.017    -0.0189     0.0108      0.94286
SCGLU2                         15528     0.0528     0.0584     0.0108   5.6346e-07
SCGLU3                         15528     0.0536      0.058     0.0111   7.0041e-07
SCGLU4                         15528     0.0488     0.0539     0.0109   3.5806e-06
SCGLU5                         15528     0.0324     0.0354      0.011    0.0016289
SCGLU6                         15528     0.0349     0.0378     0.0111   0.00080296
SCGLU9                         15528     0.0504     0.0545     0.0111   2.6687e-06
SCINH10                        15528     0.0555     0.0596     0.0112   3.4096e-07
SCINH2                         15528      0.074     0.0808      0.011   7.9701e-12
SCINH3                         15528      0.049     0.0533     0.0111   4.7618e-06
SCINH5                         15528     0.0584     0.0631     0.0111   6.7417e-08
SCINH6                         15528     0.0547     0.0593     0.0111   3.8462e-07
SCINH7                         15528     0.0607     0.0648     0.0112   3.3703e-08
SCINH8                         15528       0.05      0.053     0.0114   5.4519e-06
SCINH9                         15528     0.0541     0.0572     0.0113   9.0653e-07
SEPNBL                         15528     0.0563     0.0606     0.0112   2.3627e-07
SYCHO1                         15528     0.0109     0.0117     0.0111      0.16351
SYCHO2                         15528    0.00567    0.00621     0.0109      0.30177
SYNOR1                         15528   -0.00441   -0.00487     0.0108       0.6579
SYNOR2                         15528     0.0112     0.0122      0.011      0.15437
SYNOR3                         15528     0.0106     0.0119     0.0107      0.15974
SYNOR4                         15528    0.00421    0.00473     0.0106      0.34628
SYNOR5                         15528     0.0146     0.0157     0.0111     0.095002
SZNBL                          15528     0.0379     0.0425     0.0108   0.00021265
TECHO                          15528     0.0573     0.0641     0.0107    4.023e-08
TEGLU1                         15528     0.0946      0.105     0.0108   9.0412e-19
TEGLU10                        15528      0.119      0.133     0.0107   6.0254e-29
TEGLU11                        15528      0.105      0.119     0.0105   1.4457e-23
TEGLU12                        15528     0.0883     0.0993     0.0106   3.8699e-17
TEGLU13                        15528     0.0979      0.108     0.0109    1.366e-19
TEGLU14                        15528      0.098      0.104     0.0113   3.1106e-18
TEGLU15                        15528     0.0995       0.11     0.0108   2.6068e-20
TEGLU16                        15528      0.106      0.115     0.0109   2.0568e-22
TEGLU17                        15528      0.101      0.114     0.0106   6.6962e-22
TEGLU18                        15528     0.0963      0.109     0.0106   4.2099e-20
TEGLU19                        15528     0.0911     0.0988      0.011   8.2069e-17
TEGLU2                         15528      0.101      0.112     0.0108    4.741e-21
TEGLU20                        15528     0.0921     0.0989     0.0112   8.7122e-17
TEGLU21                        15528      0.104      0.114      0.011    1.434e-21
TEGLU22                        15528     0.0977      0.111     0.0106   1.2345e-20
TEGLU23                        15528     0.0885     0.0995     0.0107   5.1495e-17
TEGLU24                        15528     0.0932      0.106     0.0105   4.3742e-19
TEGLU3                         15528     0.0975      0.111     0.0105   8.1413e-21
TEGLU4                         15528       0.11      0.123     0.0107    5.436e-25
TEGLU5                         15528     0.0965      0.106     0.0109   4.3837e-19
TEGLU6                         15528      0.106      0.118     0.0107    2.071e-23
TEGLU7                         15528     0.0863     0.0986     0.0104   7.7965e-17
TEGLU8                         15528      0.101      0.116     0.0104   1.2094e-22
TEGLU9                         15528      0.108      0.118     0.0109   2.5264e-23
TEINH1                         15528     0.0822     0.0928     0.0106   4.9853e-15
TEINH10                        15528      0.049     0.0545     0.0108    2.713e-06
TEINH11                        15528     0.0821     0.0921     0.0107   6.8193e-15
TEINH12                        15528     0.0755     0.0826      0.011    2.932e-12
TEINH13                        15528     0.0863     0.0937      0.011   2.8003e-15
TEINH14                        15528     0.0772     0.0849     0.0109   7.6732e-13
TEINH15                        15528     0.0657     0.0732     0.0107   5.1622e-10
TEINH16                        15528     0.0653     0.0722     0.0108   8.8586e-10
TEINH17                        15528     0.0681      0.076     0.0107   1.0437e-10
TEINH18                        15528     0.0709     0.0798     0.0106   1.2386e-11
TEINH19                        15528     0.0584     0.0662     0.0106    1.635e-08
TEINH2                         15528     0.0659     0.0758     0.0104   1.3094e-10
TEINH20                        15528     0.0716     0.0776     0.0111   5.5923e-11
TEINH21                        15528     0.0546     0.0616     0.0106   1.4186e-07
TEINH3                         15528     0.0617     0.0683     0.0108   6.5064e-09
TEINH4                         15528     0.0644      0.072     0.0107   9.0066e-10
TEINH5                         15528     0.0614     0.0686     0.0107   4.9136e-09
TEINH6                         15528     0.0661     0.0724      0.011   8.3757e-10
TEINH7                         15528      0.056     0.0601     0.0112   3.1189e-07
TEINH9                         15528     0.0507     0.0556     0.0109   1.7942e-06
VECA                           15528   -0.00888   -0.00974     0.0108      0.79342
VECC                           15528    -0.0133     -0.015     0.0106      0.89504
VECV                           15528   -0.00785   -0.00891     0.0105       0.7717
VLMC1                          15528   -0.00635   -0.00712     0.0106      0.72509
VLMC2                          15528    -0.0133     -0.015     0.0106      0.89535
VSMCA                          15528   0.000488    0.00055     0.0106      0.48157
