homolID	entrez	musName	mgid	geneName	orthoHumMus
197	3978	Lig1	MGI:101789	LIG1	1:1
199	3990	Lipc	MGI:96216	LIPC	1:1
200	4023	Lpl	MGI:96820	LPL	1:1
201	3757	Kcnh2	MGI:1341722	KCNH2	1:1
203	4128	Maoa	MGI:96915	MAOA	1:1
206	4233	Met	MGI:96969	MET	1:1
207	4261	Ciita	MGI:108445	CIITA	1:1
208	4292	Mlh1	MGI:101938	MLH1	1:1
210	4436	Msh2	MGI:101816	MSH2	1:1
212	4547	Mttp	MGI:106926	MTTP	1:1
215	4607	Mybpc3	MGI:102844	MYBPC3	1:1
219	4647	Myo7a	MGI:104510	MYO7A	1:1
220	4653	Myoc	MGI:1202864	MYOC	1:1
221	4668	Naga	MGI:1261422	NAGA	1:1
222	4669	Naglu	MGI:1351641	NAGLU	1:1
223	5727	Ptch1	MGI:105373	PTCH1	1:1
225	4693	Ndp	MGI:102570	NDP	1:1
226	4763	Nf1	MGI:97306	NF1	1:1
228	4864	Npc1	MGI:1097712	NPC1	1:1
229	4867	Nphp1	MGI:1858233	NPHP1	1:1
230	4935	Gpr143	MGI:107193	GPR143	1:1
231	4942	Oat	MGI:97394	OAT	1:1
233	4952	Ocrl	MGI:109589	OCRL	1:1
234	5053	Pah	MGI:97473	PAH	1:1
236	5095	Pcca	MGI:97499	PCCA	1:1
237	5158	Pde6b	MGI:97525	PDE6B	1:1
239	5184	Pepd	MGI:97542	PEPD	1:1
240	5193	Pex12	MGI:2144177	PEX12	1:1
242	5191	Pex7	MGI:1321392	PEX7	1:1
246	5256	Phka2	MGI:97577	PHKA2	1:1
247	5257	Phkb	MGI:97578	PHKB	1:1
250	5310	Pkd1	MGI:97603	PKD1	1:1
253	5317	Pkp1	MGI:1328359	PKP1	1:1
256	5351	Plod1	MGI:99907	PLOD1	1:1
257	5373	Pmm2	MGI:1859214	PMM2	1:1
259	5449	Pou1f1	MGI:97588	POU1F1	1:1
260	5456	Pou3f4	MGI:101894	POU3F4	1:1
262	5498	Ppox	MGI:104968	PPOX	1:1
264	5627	Pros1	MGI:1095733	PROS1	1:1
265	5728	Pten	MGI:109583	PTEN	1:1
266	5741	Pth	MGI:97799	PTH	1:1
267	5745	Pth1r	MGI:97801	PTH1R	1:1
268	5805	Pts	MGI:1338783	PTS	1:1
269	5828	Pex2	MGI:107486	PEX2	1:1
270	5830	Pex5	MGI:1098808	PEX5	1:1
271	5860	Qdpr	MGI:97836	QDPR	1:1
272	5925	Rb1	MGI:97874	RB1	1:1
273	5961	Prph2	MGI:102791	PRPH2	1:1
276	6094	Rom1	MGI:97998	ROM1	1:1
279	6247	Rs1	MGI:1336189	RS1	1:1
281	6310	Atxn1	MGI:104783	ATXN1	1:1
283	6329	Scn4a	MGI:98250	SCN4A	1:1
285	6444	Sgcd	MGI:1346525	SGCD	1:1
286	6557	Slc12a1	MGI:103150	SLC12A1	1:1
287	6559	Slc12a3	MGI:108114	SLC12A3	1:1
293	6622	Snca	MGI:1277151	SNCA	1:1
294	6662	Sox9	MGI:98371	SOX9	1:1
295	6710	Sptb	MGI:98387	SPTB	1:1
297	6770	Star	MGI:102760	STAR	1:1
298	24	Abca4	MGI:109424	ABCA4	1:1
303	6948	Tcn2	MGI:98534	TCN2	1:1
306	7051	Tgm1	MGI:98730	TGM1	1:1
307	7054	Th	MGI:98735	TH	1:1
308	7056	Thbd	MGI:98736	THBD	1:1
309	7137	Tnni3	MGI:98783	TNNI3	1:1
313	7172	Tpmt	MGI:98812	TPMT	1:1
314	7248	Tsc1	MGI:1929183	TSC1	1:1
315	7253	Tshr	MGI:98849	TSHR	1:1
317	7276	Ttr	MGI:98865	TTR	1:1
319	7372	Umps	MGI:1298388	UMPS	1:1
320	7389	Urod	MGI:98916	UROD	1:1
324	7498	Xdh	MGI:98973	XDH	1:1
327	326	Aire	MGI:1338803	AIRE	1:1
328	338	Apob	MGI:88052	APOB	1:1
330	642	Blmh	MGI:1345186	BLMH	1:1
331	788	Slc25a20	MGI:1928738	SLC25A20	1:1
332	846	Casr	MGI:1351351	CASR	1:1
333	1026	Cdkn1a	MGI:104556	CDKN1A	1:1
334	1121	Chm	MGI:892979	CHM	1:1
335	1200	Tpp1	MGI:1336194	TPP1	1:1
344	2068	Ercc2	MGI:95413	ERCC2	1:1
345	2132	Ext2	MGI:108050	EXT2	1:1
347	2582	Gale	MGI:1921496	GALE	1:1
349	2760	Gm2a	MGI:95762	GM2A	1:1
350	2798	Gnrhr	MGI:95790	GNRHR	1:1
352	2820	Gpd2	MGI:99778	GPD2	1:1
353	2978	Guca1a	MGI:102770	GUCA1A	1:1
358	3295	Hsd17b4	MGI:105089	HSD17B4	1:1
359	3459	Ifngr1	MGI:107655	IFNGR1	1:1
360	3559	Il2ra	MGI:96549	IL2RA	1:1
362	3792	Kel	MGI:1346053	KEL	1:1
363	3872	Krt17	MGI:96691	KRT17	1:1
369	4053	Ltbp2	MGI:99502	LTBP2	1:1
371	5048	Pafah1b1	MGI:109520	PAFAH1B1	1:1
372	4598	Mvk	MGI:107624	MVK	1:1
374	4688	Ncf2	MGI:97284	NCF2	1:1
375	4758	Neu1	MGI:97305	NEU1	1:1
376	4854	Notch3	MGI:99460	NOTCH3	1:1
377	5019	Oxct1	MGI:1914291	OXCT1	1:1
379	5122	Pcsk1	MGI:97511	PCSK1	1:1
380	5145	Pde6a	MGI:97524	PDE6A	1:1
384	5339	Plec	MGI:1277961	PLEC	1:1
385	5445	Pon2	MGI:106687	PON2	1:1
386	5664	Psen2	MGI:109284	PSEN2	1:1
387	5896	Rag1	MGI:97848	RAG1	1:1
389	6401	Sele	MGI:98278	SELE	1:1
390	6555	Slc10a2	MGI:1201406	SLC10A2	1:1
392	6647	Sod1	MGI:98351	SOD1	1:1
393	6794	Stk11	MGI:1341870	STK11	1:1
394	6821	Suox	MGI:2446117	SUOX	1:1
395	3172	Hnf4a	MGI:109128	HNF4A	1:1
396	6928	Hnf1b	MGI:98505	HNF1B	1:1
397	7010	Tek	MGI:98664	TEK	1:1
398	7066	Thpo	MGI:101875	THPO	1:1
400	580	Bard1	MGI:1328361	BARD1	1:1
402	7291	Twist1	MGI:98872	TWIST1	1:1
403	190	Nr0b1	MGI:1352460	NR0B1	1:1
405	213	Alb	MGI:87991	ALB	1:1
408	272	Ampd3	MGI:1096344	AMPD3	1:1
409	275	Amt	MGI:3646700	AMT	1:1
413	353	Aprt	MGI:88061	APRT	1:1
416	546	Atrx	MGI:103067	ATRX	1:1
417	551	Avp	MGI:88121	AVP	1:1
418	713	C1qb	MGI:88224	C1QB	1:1
420	1415	Crybb2	MGI:88519	CRYBB2	1:1
425	2161	F12	MGI:1891012	F12	1:1
426	2147	F2	MGI:88380	F2	1:1
428	2243	Fga	MGI:1316726	FGA	1:1
429	2266	Fgg	MGI:95526	FGG	1:1
430	2488	Fshb	MGI:95582	FSHB	1:1
433	2668	Gdnf	MGI:107430	GDNF	1:1
437	3074	Hexb	MGI:96074	HEXB	1:1
441	3767	Kcnj11	MGI:107501	KCNJ11	1:1
443	7436	Vldlr	MGI:98935	VLDLR	1:1
444	4158	Mc2r	MGI:96928	MC2R	1:1
445	4359	Mpz	MGI:103177	MPZ	1:1
446	5009	Otc	MGI:97448	OTC	1:1
447	5096	Pccb	MGI:1914154	PCCB	1:1
448	5354	Plp1	MGI:97623	PLP1	1:1
449	5378	Pms1	MGI:1202302	PMS1	1:1
452	5994	Rfxap	MGI:2180854	RFXAP	1:1
455	6295	Sag	MGI:98227	SAG	1:1
456	6439	Sftpb	MGI:109516	SFTPB	1:1
457	6609	Smpd1	MGI:98325	SMPD1	1:1
459	6927	Hnf1a	MGI:98504	HNF1A	1:1
460	7157	Trp53	MGI:98834	TP53	1:1
461	7173	Tpo	MGI:98813	TPO	1:1
462	7249	Tsc2	MGI:102548	TSC2	1:1
463	7252	Tshb	MGI:98848	TSHB	1:1
464	7306	Tyrp1	MGI:98881	TYRP1	1:1
465	7428	Vhl	MGI:103223	VHL	1:1
466	7450	Vwf	MGI:98941	VWF	1:1
467	1406	Crx	MGI:1194883	CRX	1:1
468	8200	Gdf5	MGI:95688	GDF5	1:1
472	731	C8a	MGI:2668347	C8A	1:1
473	3568	Il5ra	MGI:96558	IL5RA	1:1
474	3570	Il6ra	MGI:105304	IL6R	1:1
475	2209	Fcgr1	MGI:95498	FCGR1A	1:1
478	3586	Il10	MGI:96537	IL10	1:1
480	3552	Il1a	MGI:96542	IL1A	1:1
481	3553	Il1b	MGI:96543	IL1B	1:1
486	2638	Gc	MGI:95669	GC	1:1
487	3600	Il15	MGI:103014	IL15	1:1
488	3558	Il2	MGI:96548	IL2	1:1
489	730	C7	MGI:88235	C7	1:1
491	3565	Il4	MGI:96556	IL4	1:1
492	3578	Il9	MGI:96563	IL9	1:1
493	929	Cd14	MGI:88318	CD14	1:1
495	6890	Tap1	MGI:98483	TAP1	1:1
496	7124	Tnf	MGI:104798	TNF	1:1
497	4049	Lta	MGI:104797	LTA	1:1
498	3484	Igfbp1	MGI:96436	IGFBP1	1:1
499	3485	Igfbp2	MGI:96437	IGFBP2	1:1
500	3486	Igfbp3	MGI:96438	IGFBP3	1:1
502	3569	Il6	MGI:96559	IL6	1:1
503	3082	Hgf	MGI:96079	HGF	1:1
504	4846	Nos3	MGI:97362	NOS3	1:1
505	733	C8g	MGI:88237	C8G	1:1
508	960	Cd44	MGI:88338	CD44	1:1
510	3481	Igf2	MGI:96434	IGF2	1:1
511	3263	Hpx	MGI:105112	HPX	1:1
513	920	Cd4	MGI:88335	CD4	1:1
515	3479	Igf1	MGI:96432	IGF1	1:1
519	624	Bdkrb2	MGI:102845	BDKRB2	1:1
521	974	Cd79b	MGI:96431	CD79B	1:1
522	4052	Ltbp1	MGI:109151	LTBP1	1:1
523	3588	Il10rb	MGI:109380	IL10RB	1:1
524	3454	Ifnar1	MGI:107658	IFNAR1	1:1
525	4689	Ncf4	MGI:109186	NCF4	1:1
526	3684	Itgam	MGI:96607	ITGAM	1:1
527	596	Bcl2	MGI:88138	BCL2	1:1
530	6648	Sod2	MGI:98352	SOD2	1:1
531	2936	Gsr	MGI:95804	GSR	1:1
532	7448	Vtn	MGI:98940	VTN	1:1
533	356	Fasl	MGI:99255	FASLG	1:1
534	3598	Il13ra2	MGI:1277954	IL13RA2	1:1
535	3589	Il11	MGI:107613	IL11	1:1
536	178	Agl	MGI:1924809	AGL	1:1
537	729230	Ccr2	MGI:106185	CCR2	1:1
539	6402	Sell	MGI:98279	SELL	1:1
540	7040	Tgfb1	MGI:98725	TGFB1	1:1
542	18	Abat	MGI:2443582	ABAT	1:1
543	43	Ache	MGI:87876	ACHE	1:1
550	140	Adora3	MGI:104847	ADORA3	1:1
551	146	Adra1d	MGI:106673	ADRA1D	1:1
553	151	Adra2b	MGI:87935	ADRA2B	1:1
554	191	Ahcy	MGI:87968	AHCY	1:1
560	239	Alox12	MGI:87998	ALOX12	1:1
561	240	Alox5	MGI:87999	ALOX5	1:1
563	301	Anxa1	MGI:96819	ANXA1	1:1
564	476	Atp1a1	MGI:88105	ATP1A1	1:1
568	552	Avpr1a	MGI:1859216	AVPR1A	1:1
569	593	Bckdha	MGI:107701	BCKDHA	1:1
570	623	Bdkrb1	MGI:88144	BDKRB1	1:1
572	644	Blvra	MGI:88170	BLVRA	1:1
573	645	Blvrb	MGI:2385271	BLVRB	1:1
574	706	Tspo	MGI:88222	TSPO	1:1
578	776	Cacna1d	MGI:88293	CACNA1D	1:1
579	781	Cacna2d1	MGI:88295	CACNA2D1	1:1
582	786	Cacng1	MGI:1206582	CACNG1	1:1
583	885	Cck	MGI:88297	CCK	1:1
585	915	Cd3d	MGI:88331	CD3D	1:1
586	916	Cd3e	MGI:88332	CD3E	1:1
587	1081	Cga	MGI:88390	CGA	1:1
591	1136	Chrna3	MGI:87887	CHRNA3	1:1
592	1137	Chrna4	MGI:87888	CHRNA4	1:1
593	1139	Chrna7	MGI:99779	CHRNA7	1:1
594	1140	Chrnb1	MGI:87890	CHRNB1	1:1
595	1141	Chrnb2	MGI:87891	CHRNB2	1:1
598	1384	Crat	MGI:109501	CRAT	1:1
599	1392	Crh	MGI:88496	CRH	1:1
600	1437	Csf2	MGI:1339752	CSF2	1:1
601	1441	Csf3r	MGI:1339755	CSF3R	1:1
615	1621	Dbh	MGI:94864	DBH	1:1
616	1633	Dck	MGI:102726	DCK	1:1
618	1644	Ddc	MGI:94876	DDC	1:1
620	1733	Dio1	MGI:94896	DIO1	1:1
621	1734	Dio2	MGI:1338833	DIO2	1:1
623	1814	Drd3	MGI:94925	DRD3	1:1
624	2056	Epo	MGI:95407	EPO	1:1
625	2246	Fgf1	MGI:95515	FGF1	1:1
627	2350	Folr2	MGI:95569	FOLR2	1:1
628	2520	Gast	MGI:104768	GAST	1:1
629	2554	Gabra1	MGI:95613	GABRA1	1:1
631	2557	Gabra4	MGI:95616	GABRA4	1:1
633	2562	Gabrb3	MGI:95621	GABRB3	1:1
635	2571	Gad1	MGI:95632	GAD1	1:1
637	2618	Gart	MGI:95654	GART	1:1
638	2621	Gas6	MGI:95660	GAS6	1:1
639	2677	Ggcx	MGI:1927655	GGCX	1:1
640	2692	Ghrhr	MGI:95710	GHRHR	1:1
641	2796	Gnrh1	MGI:95789	GNRH1	1:1
645	2903	Grin2a	MGI:95820	GRIN2A	1:1
646	2904	Grin2b	MGI:95821	GRIN2B	1:1
647	2905	Grin2c	MGI:95822	GRIN2C	1:1
648	2906	Grin2d	MGI:95823	GRIN2D	1:1
649	2911	Grm1	MGI:1351338	GRM1	1:1
651	2913	Grm3	MGI:1351340	GRM3	1:1
654	2918	Grm8	MGI:1351345	GRM8	1:1
658	2947	Gstm5	MGI:1309466	GSTM3	1:1
664	2983	Gucy1b3	MGI:1860604	GUCY1B3	1:1
665	2987	Guk1	MGI:95871	GUK1	1:1
668	3269	Hrh1	MGI:107619	HRH1	1:1
669	3351	Htr1b	MGI:96274	HTR1B	1:1
671	3359	Htr3a	MGI:96282	HTR3A	1:1
673	3362	Htr6	MGI:1196627	HTR6	1:1
675	3384	Icam2	MGI:96394	ICAM2	1:1
676	3482	Igf2r	MGI:96435	IGF2R	1:1
677	3554	Il1r1	MGI:96545	IL1R1	1:1
679	3567	Il5	MGI:96557	IL5	1:1
680	3574	Il7	MGI:96561	IL7	1:1
681	3592	Il12a	MGI:96539	IL12A	1:1
685	3694	Itgb6	MGI:96615	ITGB6	1:1
692	4254	Kitl	MGI:96974	KITLG	1:1
693	4256	Mgp	MGI:96976	MGP	1:1
695	1728	Nqo1	MGI:103187	NQO1	1:1
696	4835	Nqo2	MGI:104513	NQO2	1:1
697	4852	Npy	MGI:97374	NPY	1:1
699	4883	Npr3	MGI:97373	NPR3	1:1
700	4886	Npy1r	MGI:104963	NPY1R	1:1
701	4887	Npy2r	MGI:108418	NPY2R	1:1
708	5139	Pde3a	MGI:1860764	PDE3A	1:1
709	5140	Pde3b	MGI:1333863	PDE3B	1:1
712	5162	Pdhb	MGI:1915513	PDHB	1:1
713	5241	Pgr	MGI:97567	PGR	1:1
715	5319	Pla2g1b	MGI:101842	PLA2G1B	1:1
716	5322	Pla2g5	MGI:101899	PLA2G5	1:1
717	5327	Plat	MGI:97610	PLAT	1:1
719	5345	Serpinf2	MGI:107173	SERPINF2	1:1
721	5430	Polr2a	MGI:98086	POLR2A	1:1
722	5431	Polr2b	MGI:2388280	POLR2B	1:1
723	5443	Pomc	MGI:97742	POMC	1:1
725	5447	Por	MGI:97744	POR	1:1
726	5479	Ppib	MGI:97750	PPIB	1:1
727	5480	Ppic	MGI:97751	PPIC	1:1
730	5557	Prim1	MGI:97757	PRIM1	1:1
731	5558	Prim2	MGI:97758	PRIM2	1:1
732	5617	Prl	MGI:97762	PRL	1:1
733	5618	Prlr	MGI:97763	PRLR	1:1
734	5638	Prrg1	MGI:1917364	PRRG1	1:1
735	5639	Prrg2	MGI:1929596	PRRG2	1:1
736	5729	Ptgdr	MGI:102966	PTGDR	1:1
737	5730	Ptgds	MGI:99261	PTGDS	1:1
738	5731	Ptger1	MGI:97793	PTGER1	1:1
739	5732	Ptger2	MGI:97794	PTGER2	1:1
741	5737	Ptgfr	MGI:97796	PTGFR	1:1
743	5742	Ptgs1	MGI:97797	PTGS1	1:1
747	6122	Rpl3	MGI:1351605	RPL3	1:1
748	6124	Rpl4	MGI:1915141	RPL4	1:1
756	6141	Rpl18	MGI:98003	RPL18	1:1
763	6152	Rpl24	MGI:1915443	RPL24	1:1
766	6156	Rpl30	MGI:98037	RPL30	1:1
768	6158	Rpl28	MGI:101839	RPL28	1:1
779	6188	Rps3	MGI:1350917	RPS3	1:1
783	6193	Rps5	MGI:1097682	RPS5	1:1
788	6204	Rps10	MGI:1914347	RPS10	1:1
794	6217	Rps16	MGI:98118	RPS16	1:1
799	6228	Rps23	MGI:1913725	RPS23	1:1
806	6240	Rrm1	MGI:98180	RRM1	1:1
810	6324	Scn1b	MGI:98247	SCN1B	1:1
811	6337	Scnn1a	MGI:101782	SCNN1A	1:1
813	6462	Shbg	MGI:98295	SHBG	1:1
816	6530	Slc6a2	MGI:1270850	SLC6A2	1:1
817	6532	Slc6a4	MGI:96285	SLC6A4	1:1
819	6750	Sst	MGI:98326	SST	1:1
820	6751	Sstr1	MGI:98327	SSTR1	1:1
824	6870	Tacr3	MGI:892968	TACR3	1:1
825	6915	Tbxa2r	MGI:98496	TBXA2R	1:1
828	7132	Tnfrsf1a	MGI:1314884	TNFRSF1A	1:1
829	7133	Tnfrsf1b	MGI:1314883	TNFRSF1B	1:1
830	7153	Top2a	MGI:98790	TOP2A	1:1
833	7283	Tubg1	MGI:101834	TUBG1	1:1
834	7298	Tyms	MGI:98878	TYMS	1:1
838	7412	Vcam1	MGI:98926	VCAM1	1:1
839	7535	Zap70	MGI:99613	ZAP70	1:1
840	7915	Aldh5a1	MGI:2441982	ALDH5A1	1:1
842	8654	Pde5a	MGI:2651499	PDE5A	1:1
843	8985	Plod3	MGI:1347008	PLOD3	1:1
846	14	Aamp	MGI:107809	AAMP	1:1
849	23	Abcf1	MGI:1351658	ABCF1	1:1
854	47	Acly	MGI:103251	ACLY	1:1
855	49	Acr	MGI:87884	ACR	1:1
856	50	Aco2	MGI:87880	ACO2	1:1
863	93	Acvr2b	MGI:87912	ACVR2B	1:1
865	102	Adam10	MGI:109548	ADAM10	1:1
866	113	Adcy7	MGI:102891	ADCY7	1:1
868	115	Adcy9	MGI:108450	ADCY9	1:1
869	116	Adcyap1	MGI:105094	ADCYAP1	1:1
870	117	Adcyap1r1	MGI:108449	ADCYAP1R1	1:1
871	10227	Mfsd10	MGI:1915544	MFSD10	1:1
872	123	Plin2	MGI:87920	PLIN2	1:1
873	133	Adm	MGI:108058	ADM	1:1
874	141	Adprh	MGI:1098234	ADPRH	1:1
875	159	Adss	MGI:87948	ADSS	1:1
878	165	Aebp1	MGI:1197012	AEBP1	1:1
879	166	Aes	MGI:95806	AES	1:1
881	173	Afm	MGI:2429409	AFM	1:1
883	177	Ager	MGI:893592	AGER	1:1
884	242	Alox12b	MGI:1274782	ALOX12B	1:1
886	247	Alox8	MGI:1098228	ALOX15B	1:1
888	267	Amfr	MGI:1345634	AMFR	1:1
896	318	Nudt2	MGI:1913651	NUDT2	1:1
897	320	Apba1	MGI:1860297	APBA1	1:1
898	322	Apbb1	MGI:107765	APBB1	1:1
899	330	Birc3	MGI:1197007	BIRC3	1:1
900	329	Birc2	MGI:1197009	BIRC2	1:1
901	331	Xiap	MGI:107572	XIAP	1:1
906	384	Arg2	MGI:1330806	ARG2	1:1
907	394	Arhgap5	MGI:1332637	ARHGAP5	1:1
908	396	Arhgdia	MGI:2178103	ARHGDIA	1:1
910	406	Arntl	MGI:1096381	ARNTL	1:1
911	419	Art3	MGI:1202729	ART3	1:1
912	433	Asgr2	MGI:88082	ASGR2	1:1
913	501	Aldh7a1	MGI:108186	ALDH7A1	1:1
914	537	Atp6ap1	MGI:109629	ATP6AP1	1:1
915	563	Azgp1	MGI:103163	AZGP1	1:1
916	571	Bach1	MGI:894680	BACH1	1:1
917	578	Bak1	MGI:1097161	BAK1	1:1
920	608	Tnfrsf17	MGI:1343050	TNFRSF17	1:1
922	631	Bfsp1	MGI:101770	BFSP1	1:1
923	637	Bid	MGI:108093	BID	1:1
924	638	Bik	MGI:1206591	BIK	1:1
925	639	Prdm1	MGI:99655	PRDM1	1:1
926	650	Bmp2	MGI:88177	BMP2	1:1
927	651	Bmp3	MGI:88179	BMP3	1:1
929	659	Bmpr2	MGI:1095407	BMPR2	1:1
930	662	Bnip1	MGI:109328	BNIP1	1:1
931	687	Klf9	MGI:1333856	KLF9	1:1
933	701	Bub1b	MGI:1333889	BUB1B	1:1
936	813	Calu	MGI:1097158	CALU	1:1
942	858	Cav2	MGI:107571	CAV2	1:1
946	902	Ccnh	MGI:1913921	CCNH	1:1
947	904	Ccnt1	MGI:1328363	CCNT1	1:1
949	943	Tnfrsf8	MGI:99908	TNFRSF8	1:1
950	944	Tnfsf8	MGI:88328	TNFSF8	1:1
954	958	Cd40	MGI:88336	CD40	1:1
955	968	Cd68	MGI:88342	CD68	1:1
956	970	Cd70	MGI:1195273	CD70	1:1
960	996	Cdc27	MGI:102685	CDC27	1:1
963	1021	Cdk6	MGI:1277162	CDK6	1:1
966	1031	Cdkn2c	MGI:105388	CDKN2C	1:1
968	1045	Cdx2	MGI:88361	CDX2	1:1
970	1102	Rcbtb2	MGI:1917200	RCBTB2	1:1
975	1111	Chek1	MGI:1202065	CHEK1	1:1
976	1113	Chga	MGI:88394	CHGA	1:1
979	1147	Chuk	MGI:99484	CHUK	1:1
980	1153	Cirbp	MGI:893588	CIRBP	1:1
981	1155	Tbcb	MGI:1913661	TBCB	1:1
984	1179	Clca1	MGI:1346342	CLCA1	1:1
985	1185	Clcn6	MGI:1347049	CLCN6	1:1
987	53405	Clic5	MGI:1917912	CLIC5	1:1
